Индекс,Город,Широта,Долгота,Население
187780,Подпорожье,60.9127463,34.1567832,18729
188910,Приморск,60.3660787,28.6135962,6122
188760,Приозерск,61.03313,30.15876,18929
188990,Светогорск,61.1112679,28.8726666,15973
188650,Сертолово,60.14458,30.2094595,47854
188560,Сланцы,59.1178693,28.088106,33587
188540,Сосновый Бор,59.8772921,29.1290866,65901
187420,Сясьстрой,60.1402454,32.5602015,13747
187550,Тихвин,59.6273809,33.5072307,58843
187000,Тосно,59.5406697,30.8777872,39127
187320,Шлиссельбург,59.9443923,31.0334136,13305
399050,Грязи,52.4873931,39.9331785,46798
399850,Данков,53.25769,39.1457625,21056
399770,Елец,52.6151738,38.5289121,108404
399200,Задонск,52.4004611,38.9205772,9695
399610,Лебедянь,53.0156678,39.143498,20991
398000,Липецк,52.6103027,39.5946266,508124
399341,Усмань,52.0444165,39.7264516,18752
399900,Чаплыгин,53.2404794,39.9671563,12656
685000,Магадан,59.5681763,150.8085289,95925
686314,Сусуман,62.7804628,148.154033,5865
425000,Волжск,55.8622987,48.371553,55671
425060,Звенигово,55.9739374,48.0170276,11945
424000,Йошкар-Ола,56.6343763,47.8998445,248688
425350,Козьмодемьянск,56.333346,46.5466282,21262
431860,Ардатов,54.8465693,46.2412736,9400
431430,Инсар,53.8770384,44.3696866,8687
431350,Ковылкино,54.0391464,43.9191229,21307
431260,Краснослободск,54.4248634,43.7845096,10151
431440,Рузаевка,54.0583238,44.949116,47529
430000,Саранск,54.1807601,45.1862263,297425
431220,Темников,54.6309086,43.2161785,7247
101000,Москва,55.7538789,37.6203735,11514330
143360,Апрелевка,55.5276336,37.0651105,18467
143900,Балашиха,55.7963352,37.9381413,215353
140170,Бронницы,55.4255534,38.2640794,21102
143330,Верея,55.3674668,36.1563083,5368
142700,Видное,55.5518323,37.7062062,56798
143600,Волоколамск,56.0358121,35.9585027,23386
140200,Воскресенск,55.3071305,38.7026949,91301
141650,Высоковск,56.336141,36.5251316,10642
143040,Голицыно,55.6189762,36.9855559,17447
143530,Дедовск,55.8704718,37.1244724,29280
140090,Дзержинский,55.6241079,37.8440691,47125
141800,Дмитров,56.3477176,37.5267184,61454
141700,Долгопрудный,55.9384901,37.5100527,90976
102321,Домодедово,55.4363901,37.7666263,96123
142660,Дрезна,55.7442991,38.8499228,11815
141980,Дубна,56.7417949,37.1757163,70569
140300,Егорьевск,55.3831326,39.0358236,70133
140180,Жуковский,55.5998408,38.1224185,102729
140600,Зарайск,54.7625993,38.8851485,24648
143180,Звенигород,55.7296168,36.8552843,16395
141280,Ивантеевка,55.9742303,37.9208755,58594
143500,Истра,55.9061087,36.8600854,35106
142900,Кашира,54.8534263,38.1903818,41880
141601,Клин,56.3424886,36.7240912,80584
140400,Коломна,55.1027797,38.7531734,144642
141070,Королев,55.9162558,37.8545224,183452
140011,Котельники,55.659898,37.8632865,32347
141290,Красноармейск,51.0268595,45.7011086,26294
143401,Красногорск,55.8318475,37.32942,116738
141321,Краснозаводск,56.4408723,38.2320671,13432
143090,Краснознаменск,55.5978962,37.0395137,36057
143070,Кубинка,55.5755679,36.6952487,22918
142620,Куровское,55.5791491,38.9208543,21821
142670,Ликино-Дулево,55.7078531,38.9577103,31331
141055,Лобня,56.0328745,37.4614671,74350
141150,Лосино-Петровский,55.8714441,38.2005377,22550
140500,Луховицы,54.9651617,39.0261346,29849
140080,Лыткарино,55.5778065,37.9034952,55147
140000,Люберцы,55.700416,37.9606496,171978
143200,Можайск,55.5069819,36.0240724,31388
141000,Мытищи,55.9104647,37.7363702,173341
143300,Наро-Фоминск,55.3802749,36.7608038,64640
142400,Ногинск,55.8686239,38.4621635,99762
143000,Одинцово,55.6789292,37.2636389,139021
140560,Озеры,54.8539944,38.55987,25788
142600,Орехово-Зуево,55.8151729,38.9870711,120620
142500,Павловский Посад,55.7806718,38.6596047,63771
141320,Пересвет,56.4158828,38.1733567,14142
142100,Подольск,55.4389588,37.57027,187956
142280,Протвино,54.8706614,37.2183307,37308
141200,Пушкино,56.0104548,37.8471438,102840
142290,Пущино,54.832521,37.6210428,20263
140100,Раменское,55.549529,38.273015,96355
143960,Реутов,55.758236,37.8619443,87195
140730,Рошаль,55.6632504,39.8655434,21265
143100,Руза,55.7015302,36.1960043,13495
141300,Сергиев Посад,56.3063411,38.1502568,110878
142200,Серпухов,54.9225396,37.4032682,126496
141501,Солнечногорск,56.2148655,37.0967653,52996
142450,Старая Купавна,55.8038411,38.1426144,21859
142800,Ступино,54.9238403,38.1186976,66942
141900,Талдом,56.7308993,37.5276414,13819
141190,Фрязино,55.9590154,38.0409171,55449
141400,Химки,55.8886705,37.4304154,207125
141370,Хотьково,56.2515725,37.9395225,21612
142432,Черноголовка,56.0100909,38.3792328,20986
142300,Чехов,55.1507175,37.4532591,60677
140700,Шатура,55.5777942,39.5443781,32836
141100,Щелково,55.9234303,37.9784419,110380
142530,Электрогорск,55.8778573,38.7805239,22120
144000,Электросталь,55.7847718,38.4446531,155324
142455,Электроугли,55.7170329,38.2194049,20120
141840,Яхрома,56.2889858,37.4831016,13248
184200,Апатиты,67.5678295,33.4067218,59690
